L0 Level,Translated Description,Translated Short Description,Reported Problem Code L1,Reported Problem Code L,Reported Problem Code L3
Software,ISP application unable to login,ISP application unable to login,,,
Software,"local user fails to log on ISP due to error message ""Certificate error - no certificate, please contact IT""",ISPv10 - Certificate error,,,
Software,New (2) two new send destination created for PACS.,New (2) two new send destination created for PACS.,,,
Software,into,ISP12 CT VC customer like the system to detect and auto launch series after the user highlight the study,,,
Software,Workstation not functioning,Workstation not functioning,,,
Software,into,ISP12 Chinese localization have many cases of incorrect translation and also cases of not fitting in the UI,,,
Software,"Transfer services not available at the moment, please try again later.

Log files: Submission to Transfer spooler failed as transfer services is down.....",Can not transfer data to PACS or retrive,,,
Software,"After restarting ISP1, it was noticed that the AnyMQ does not work anymore.
VM were recently migrated to a system with new Intel Gen3 Xeon processor.
For these, a ThereMQ/Erlang patch is required.

For more info: 
Concerto Manual D000857834 Rev H, since 160
Appendix H: Installing a new version of AnyMQ and Erlang for 3rd generation CPUs",Issue with RabbitmQ - Update required for Erlang/RabbitmQ on hosts with Intel 3rd genes Processors,,,
Software,Need profile assistance (Slowness with ISP),Need profile assistance (Slowness with ISP),,,
Software,LS Quote,LS Quote,,,
Software,05R/IntelliSpace Portal Solutions/stuck,05R/IntelliSpace Portal Solutions/stuck,,,
Software,05R/Extended Brilliance Workspace/CTA process failed,05R/Extended Brilliance Workspace/CTA process failed,,,
Software,05R/Extended Brilliance Workspace/add node,05R/Extended Brilliance Workspace/add node,,,
Software,Portal system hanging issue,Portal system hanging issue,,,
Software,Unable to open case in PC,Unable to open case in PC,,,
Software,wechat?05R/Extended Brilliance Workspace/software stuck,wechat?05R/Extended Brilliance Workspace/software stuck,,,
Software,could not login to workstation,could not login to workstation,,,
Software,Incorrect HU unit on PACS. AGFA PACS is unable to display HU* (the * being the issue) as denoted in the the dicom tag 0028 1054 hence it assigns Gy as the unit.,Incorrect HU unit on PACS,,,
Software,into,AVW15: Data having proper dynamics still user is getting pop up and unable to launch Brain function application,,,
Software,"INC000002732383 - It connects to PACS, but it shows an error when downloading studies. DaTQUANT software connection with THE HUIE PACS. Equipment name: VM-MEDINUCL02.
Location: Infanta Elena Hospital","INC000002732383 - Connect with the PACS, but give error when downloading studies.",,,
Software,"He logged in to the ISP, but the application does not start.>> isp did not work even after restarting.",01CS:KK:ISP???????????????????????>>ISP???????????,,,
Software,EBW System is not booting up,EBW System is not booting up,,,
Software,02N/IntelliSpace IX/LX Workstations/Slow software operation,02N/IntelliSpace IX/LX Workstations/Slow software operation,,,
Software,05R/Portal/Can't log in,05R/Portal/Can not log in,,,
Software,"The device displays the message: maximum number of patients reached, remove patients from the film.",The device displays a message,,,
Software,User report unable save processing data into current image during comparison with old image.,"NNI, ISP, Key image populated in a different accession number",,,
Software,No Auth Source,No Auth Source,,,
Software,CONFIGURE PACS TO BE ABLE TO QUERY/RETRIEVE,CONFIGURE PACS TO BE ABLE TO QUERY/RETRIEVE,,,
Software,images are archived error at a particular site,images are archived error at a particular site,,,
Software,05R/IntelliSpace Portal Solutions/can't connect to server,05R/IntelliSpace Portal Solutions/can not connect to server,,,
Software,Cannot filter in Date/Time of ISP Client,Cannot filter in Date/Time of ISP Client,,,
Software,ISP system not switching on,ISP system not switching on,,,
Software,"ISP can't use function Qflow popup "" PortalApphost64 """,ISP can?t use function Qflow popup ? PortalApphost64 ?,,,
Software,05R/Extended Brilliance Workspace/software crash,05R/Extended Brilliance Workspace/software crash,,,
Software,wechat?05R/IntelliSpace Portal Solutions/boot up failed,wechat?05R/IntelliSpace Portal Solutions/boot up failed,,,
Software,"Issue: Malfunction
Description of error: No screenshots from the corridor 4DM application possible as client user (screenshot in the attachment)
Test license Mirada can be selected, but does not load any data (see screenshot in the attachment)",Problem Secondary Capture Corridor 4DM und Mirada,,,
Software,"After multiple restarts, it displays a message: connection impossible to the servers.",probl?memconnection,,,
Software,"Issue: Malfunction
Description of error: No data can be sent from the ISP into the PACS anymore
Error message: Unable to connect to the remote device
Error occurred on: 27.4. Morning",No data from the ISP into the PACS,,,
Software,"Via Ms. Walther, NM App (on site): Corridor 4DM does not save the layouts and does not save screenshots",Corridor 4DM does not save the layouts and does not save screenshots,,,
Software,Problem: Activate PSA.,Problem: Activate PSA.,,,
Software,THE EQUIPMENT IS VERY SLOW WHEN OPENING STUDIES AND FURTHERMORE IT IS NOT OPENING THE CARDIAC VOLUME,The team is very slow when opening studies and also is not opening the cardiac volumetric,,,
Software,Need help with MUGA processing,9509CFXJ4 YNN Need help with MUGA processing,,,
Software,ISP - CAT app not available,ISP - CAD app not available,,,
Software,"User getting error message cannot find slice's, rebuild database.","User getting error message cannot find slice's, rebuild database.",,,
Software,Case created for server reboot action - task requested by case 0121595267 as a secondary action,ISPv11.1.2: server reboot,,,
Software,Request forwarded by management: help Brian Darr (Philips project manager) to import stent protocols from a server v11 to a new concerto v12 (all servers),ISPv12 concerto: import stent protocols,,,
Software,Cannot filter in Date/Time of ISP Client,Cannot filter in Date/Time of ISP Client,,,
Software,"Portal froze while using it. Bug report done. Approx time: 14:00 Date: 27/04/2023
NHI number provided in the PHI field.",Portal froze when using application,,,
Software,05R/Upgrades IntelliSpace IX/LX WrkStns/user account login error,05R/Upgrades IntelliSpace IX/LX WrkStns/user account login error,,,
Software,ISP system software update to version 12.1.7.,ISP software update to version 12.1.7,,,
Software,During the V12.1.5 application installation it stops on the latest step.,Installation of application always stops on the last step and rolls back.,,,
Software,05R/Extended Brilliance Workspace/software stuck,05R/Extended Brilliance Workspace/software stuck,,,
Software,"Issue: Malfunction
Description of error: During evaluation via jetpack, error occurs
Error message: 
Unable to copy file. Source file...
Problem already occurred.
Already phoned with Ms. Walter. Suspect Windows patch",unable to copy file - bei Auswertung ?ber jetpack,,,
Software,Identification system not recognized.,Unrecognized identification system.,,,
Software,"Issue: Malfunction
Error description: Technical problem when creating screen shots in the application of corridor 4DM. No screenshots possible. Server and client were rebooted.
Error message:-
Error occurred on: 3-4 weeks ago",Problem when creating screen shots in the application of Corridor 4DM,,,
Software,Cannot transfer data from the ISP to the Fuji image inspection terminal.,ISP??FUJI????????????????,,,
Software,"Issue: Malfunction
Description of error: When starting JetPack in Nuclear Medicine, error message appears, please analyze
Error message: See email",FM at the start of the jetpack,,,
Software,ISP does not work anymore.,ISP no longer works.,,,
Software,patient study transfer issue in every workstation,patient study transfer issue in every workstation,,,
Software,"From CaseID# 0120690187 ""Image data from MR Achieva in knk are not assigned to the client KNK""",Image data from MR Achieva in knk are not assigned to the client KNK,,,
Software,"Since an update, impossible to delete a file.",Would like to erase a file.,,,
Software,ISP - AutoQuant is not launching properly,ISP - AutoQuant is not launching properly,,,
Software,web server field is blank unable to login,web server field is blank unable to login,,,
Software,issue started to happen after windows update,ISP: authentication source missing after windows update,,,
Software,02N/IntelliSpace IX/LX Workstations/SW error,02N/IntelliSpace IX/LX Workstations/SW error,,,
Software,01/IntelliSpace Portal Solutions/wrong password,01/IntelliSpace Portal Solutions/wrong password,,,
Software,02N/IntelliSpace IX/LX Workstations/report errors,02N/IntelliSpace IX/LX Workstations/report errors,,,
Software,Configuration required for PACS in EBW Workstation system,Configuration required for PACS in EBW Workstation system,,,
Software,ISP system software update to version 12.1.7.,ISP software update to version 12.1.7,,,
Software,"Neck CTA bone removal failure
Steps to reproduce
1.	Launch case into AVA with postprocessed results
2.	Bone failure occurs around 30%

Try again
1.	Launch case without the preprocessed results
2.	Bone removal failure around 30%

Tried to use the head/neck algorithm within the application and it still did not work

Took study into sub-selection and removed approximately 20 images from the bottom of the data set and a few from the top.
Bone removal worked at that time",Neck CTA bone removal failure,,,
Software,05R/IntelliSpace Portal Solutions/software stuck sometimes,05R/IntelliSpace Portal Solutions/software stuck sometimes,,,
Software,SA:05K/ISP/Can't play piece,SA:05K/ISP/Can not  play piece,,,
Software,Wechat?SA:05K/IntelliSpace IX/LX Workstations/Unable to open normally,Wechat?SA:05K/IntelliSpace IX/LX Workstations/Unable to open normally,,,
Software,"""No disc space"" message is being displaying",04DS:NG:no disc space?????????,,,
Software,ISP system is hanging and unable to view data in ISP System,ISP system is hanging and unable to view data in ISP System,,,
Software,Application/IntelliSpace IX/LX Workstations/consult brain perfusion using,Application/IntelliSpace IX/LX Workstations/consult brain perfusion using,,,
Software,01/IntelliSpace IX/LX Workstations/add dicom node,01/IntelliSpace IX/LX Workstations/add dicom node,,,
Software,01/IntelliSpace IX/LX Workstations/cannot login,01/IntelliSpace IX/LX Workstations/cannot login,,,
Software,"When he made a mistake in the login password, the system froze.",08CS:FN:Login password????????????,,,
Software,"Receiving error message ""No certificate found""","receiving error message ""no certificate found""",,,
Software,"They cannot work with the studies, it has been happening since yesterday afternoon. When the PIC control is done, it is slow, it also indicates that it has 7% of space on the disk. 
Location: Remote work.",You can't work with studies,,,
Software,05K/IntelliSpace IX/LX Workstations/Slow software running speed,05K/IntelliSpace IX/LX Workstations/Slow software running speed,,,
Software,SA:01/IntelliSpace Portal Solutions,SA:01/IntelliSpace Portal Solutions,,,
Software,01/IntelliSpace IX/LX Workstations/stuck,01/IntelliSpace IX/LX Workstations/stuck,,,
Software,Software upgrade,SW Upgrade,,,
Software,This device is RESTRICTED because we're NOT able to OPEN ISP,This device is RESTRICTED because we're NOT able to OPEN ISP,,,
Software,"When opening patient data with intellispace with the application
corridor4DM it always comes with a message (attachment). It makes
Not off if you do not show message again and then press install or skip.
The message is then gone but for the following patient it simply
again. Very disturbing because then the application does not start up properly.
Can you solve this?",Corridor 4DM from IntellisPace gives disturbing report,,,
Software,main CT computer to server CT reporting room,main CT computer to server CT reporting room,,,
Software,jet pack is not working for shared work station,jet pack is not working for shared work station,,,
Software,Logging problems in the ISP IntelliSpace IX/LX Workstation application Pantelimon Clinical Emergency Hospital,Logging problems in the IP Intellispace IX/LX Workstation application Pantelimon Emergency Clinical Hospital,,,
Software,"They use only one ""mruser"" user and since it is wrong for an excessive number of times, the password is now blocked.",User stuck,,,
Software,Reinstallation of SLAVE server.,Reinstall Slave Server,,,
Software,into,ISP12 CT Viewer in volume viewport anatomy disappears as if it was part of the couch,,,
Software,"Issue: Malfunction
Error description: ISP cardio problems: Currently there are performance problems with the ISP again, it probably affects all application servers.",ISP cardio problems,,,
Software,Image transfer problems from the workstation to the PACS and CT scan.,Image transfer problems from Workstation to Pacs and Tac,,,
Software,"PORTAL TAC server (10.84.153.157) installed in Viladecans Hospital, it has not been integrated since last Saturday as a result of an un controlled shutdown of the server. A while ago, we restarted it, but it still does not work. It seems to be a connectivity problem, although the server responds to pings, and we can connect to it via RDP.
Location: Radiology.",He is not integrating since the last,,,
Software,"The portal has studies that cannot be deleted, it gives an error, check that when it arrives they have to delete manually,
And the ones that have an error are not deleted 
Location: X-ray",The portal is with studies that cannot be called error,,,
Software,"John please create a case for this. I tried pulling the data to test on the MDC V12 but they were working on a reinstall of the MDC V12 on Friday. Will you pull it and put it on the V12 for me? I?d like to test it there before recommending they upgrade the AutoQuant to have PET.

Customer was using an older version of AutoQuant. They were loading PET Viability exams into QBS to review the volume data. After upgrading to AutoQuant 2017 they are no longer to display the data.
Last 2 PET Viability we did are:
DOS 3/22/23, MR#00022040
DOS 3/8/23, MR#000623224

We can?t get the QBS to load it always took a long time but since the last ISP upgrade it will not load at all.",We can?t get the QBS to load,,,
Software,"related to previous case 0121510087	Customer states Slice page data is not saving after changing ROI in Autoquant","related to previous case 0121510087	Customer states Slice page data is not saving after changing ROI in Autoquant",,,
Software,Has questions about combining patient studies,Has questions about combining patient studies,,,
Software,Need help with cardiac processing,Need help with cardiac processing,,,
Software,Issues with ISP,Issues with ISP,,,
Software,"After pulling the wrong patient data, unit populated under Intellispace.","After pulling the wrong patient data, unit populated under Intellispace.",,,
Software,Auto and Manual  bone removal not functioning,Auto and Manual  bone removal not functioning,,,
Software,The analysis software does not work.,08cs: NG: ???????????????,,,
Software,We are having problem logging in to the ISP 12 server d-ispapp2.  The problem has occurred for the past week.,We are having problem logging in to the ISP 12 server d-ispapp2.,,,
Software,ISP system is hanging,ISP system is hanging,,,
Software,main screen is down and saying canceling,main screen is down and saying canceling,,,
Software,01/IntelliSpace IX/LX Workstations/software fault,01/IntelliSpace IX/LX Workstations/software fault,,,
Software,"The printer lost the connection, and it does not print.

Location: DIAGN. CENTER FOR SRL IMAGES","The printer has lost the connection, and does not print",,,
Software,Problem opening two scanners at the same time.,opening problem of two scanner,,,
Software,into,ISP10: MR Perfusion Doesn't load some cases showing error that it doesn't have enough dynamics,,,
Software,"Reported problem: An error message is displayed indicating full space.
Location of the equipment: - 
When did the failure happen?: Today
When will the equipment be available for intervention? What is the best day or time?: As soon as possible
Was the equipment in clinical use when the failure occurred?: Yes",Error message indicates full space,,,
Software,System connect online,System connect online,,,
Software,"""Study loads..."" appears on the screen of the user. - > then does not happen anymore (reported by Dr. Koller 0561 980 17358)",No function on clients,,,
Software,"Since 4/28, the brain perfusion analysis cannot be started correctly.
If the entire study is selected, the loading window appears for a few seconds before it disappears without an error message but the program is not opened.
If only individual scan series are selected, Brain Perfusion opens and asks for the merge of the series. But that does not work due to non-matching parameters and the program closes.
After restarting the services via PMT, the brain perfusion worked again for a short time until the same problem occurred.",Brain perfusion does not,,,
Software,"Hi Philips, please see attached

 

Cheers

 

Hamish Fraser",Intellispace Portal - Western Sussex - Server WSH00ISPMASTER Intellispace Portal ? Master has shutdown/crashed over...,,,
Software,It is giving error while writing the password.,It gives an error while writing,,,
Software,No start-up of software/application packages,Failure to start software/application packages,,,
Software,"In addition to the malfunction with the brain perfusion analysis tool (case number 0121611860) specified in the previous message today, other applications, such as the CT Viewer, cannot be opened anymore now.
The error pattern is the same: The loading window appears for a while until it disappears without an error message and the application does not open.

Please call back promptly, since the ISP is not working like this.",Applications can no longer be,,,
Software,The system got blocked after deleting the examinations.,System blocked,,,
Software,while doing screen capture getting error message,while doing screen capture getting error message,,,
Software,CT viewer will not launch,CT viewer will not launch,,,
Software,"STUDIES ARE NOT BEING FORWARDED TO PACS, IT SHOWS AN ERROR.","Do not send studies to PACS, give error.",,,
Software,IE Title of the system need to be change need to add 2-nodds,ISPv8: customer requested help to edit 2 DICOM nodes based on local changes,,,
Software,"STUDIES ARE NOT BEING FORWARDED TO PACS, IT SHOWS AN ERROR.","Do not send studies to PACS, give error.",,,
Software,SENDING STUDIES TO ISP IS VERY SLOW FROM SEVERAL MODALITIES. LAST WEEK THE SERVICES WERE RESTARTED AND IT CONTINUES THE SAME,The sending of studies to ISP to is very slow from several modalities. Last week the services were restarted ...,,,
Software,error message while launching data on NMViewer,NMViewer: Message error,,,
Software,01/IntelliSpace Portal Solutions/cannot connect,01/IntelliSpace Portal Solutions/cannot connect,,,
Software,"After ISPortal upgrade from V11 to V12.1.7: MR Cardio Perfusion at the point ""Show results"" does not work and the application crashes.","After ISPortal Upgrade from V11 to V12.1.7: MR Cardio Perfusion at the point ""Show results"" does not work",,,
Software,ISP problem,Probl?me ISP,,,
Software,"Dr. M? SANTOS GALLEGO, has problems with the presentation of the series of the studies According to her, since the update was done, the series are out of place.
Please get in touch with her to check it on site.
650719823
THANK YOU.


Pepa",Problems in the presentation of the series,,,
Software,"At the turn on after electrical tests, upon identification it reports critical error. 
Tec. Antonelli is aware of that.",Does not log in,,,
Software,"Issue: Malfunction
Error description: Examination does not arrive in the system
Error message:--
Error occurred on: yesterday and today, 05-05-2023",Investigation does not come into the system,,,
Software,The iron quantification of the liver is not performed correctly.,Does not correctly perform the iron quantification of the hígado,,,
Software,"Mr. Teske via email: Brain perfusion and MR Cardiac do not work, PMT displays error on slave",Slave server does not work,,,
Software,into,ISP12: AVA User created Stent Protocol disappear after few weeks of usage,,,
Software,"Issue: Malfunction
Error description: New device should be added, please call back for support
User for portal management is blocked",User for portal management is blocked,,,
Software,"Unable to connect with Target and on queue manager their is a large list of failed images, but they have gone over","Unable to connect with Target and on queue manager their is a large list of failed images, but they have gone over",,,
Software,User account does not work for a specific person.,Non -functional account problem,,,
Software,"Issue: Malfunction
Error description: The system responds very slowly, only after about 1 minute is something displayed
Error occurred on: 4.5.",System works very slowly,,,
Software,Customer requesting assistance with services restart.  Users are unable to login.,Customer requesting assistance with services restart.,,,
Software,"Issue: Malfunction
Error description: Prof. Wilhelm mentioned that his Lung Nodule CAD software does not work anymore, with which he has been working for a long time. With a view to the server, it was also determined that this function is actually set to disabled - for whatever reason.
Therefore, in the attachment is the old V9.0 key again with the request for another install since the upgrade to 12 won't take place until 2 months from now. Therefore the customer can then work again with CAD in his usual way.

Microsoft Defender does not allow you to download a batch file. Please take care of it briefly, Options/Service KeySearch (philips.com)",Lung nodule cad software no longer works,,,
Software,During the start-up of the processing system it does not start.,Plan processing system does not start,,,
Software,"Following a sudden blackout, the application does not load the interface reporting ""Critical Error"".
Resolution: verified with the support of the customer that time and date of the system were correct. Wrong data are found (it reports April 30, 2012). Corrected the values and asked the customer to restart the PC, at the end of which the problem is solved.",The application does not charge the interface by reporting ? -critical error?,,,
Software,User was unable to measure in vessel analysis,User is having a problem reading CTO vessel analysis,,,
Software,ISP performance,ISP - performance,,,
Software,Add dicom node,Add dicom node,,,
Software,errors in client,errors in client,,,
Software,Wechat:05R/IntelliSpace IX/LX Workstations/Workstation cannot enter the system,Wechat:05R/IntelliSpace IX/LX Workstations/Workstation cannot enter the system,,,
Software,05R/Extended Brilliance Workspace/system report error,05R/Extended Brilliance Workspace/system report error,,,
Software,EBW not switching On,EBW not switching On,,,
Software,"Located precisely at: cabinet 2 2 rue du 18Juin ERMONT 95120 (because several sites)
""Maximum number of patients reached, remove patients from the wire""
Mrs. had swapped with Mr. Jean-Jacques SIMON who told her that it was probably the archiving that was out of service.",MSG of error,,,
Software,SA:05K/IntelliSpace Portal Solutions/AVA can't use,SA:05K/IntelliSpace Portal Solutions/AVA can not use,,,
Software,ISP MR cartilage assessment error,ISP MR cartilage assessment error,,,
Software,into,AVW15 AVA -  Centerline tools malfunctioning -TFS1566234,,,
Software,"Hello

Regarding the setting up of a new PACS for one of our members, would it be possible to declare 2 new network nodes on the Ingenia and on the ISP:
- one for the store: PACS-PARC-STORE
- one for the QR


Archiving: AET : GIEAQ1 /IP: 172.20.0.158 / port: 104
QR Modality: AET: G7QR / IP: 172.20.0.155 / port: 11112

Thanks in advance.
Michel PARET",PACS knots,,,
Software,"Mr. Perfusion studies cannot be opened using the integration from the VUE PACS.
IP: 101181554",MR Perfusion studies are not opened using the integration from the VUE PACS,,,
Software,(24x7) The application is gray when trying to open a study in Portal Santiago,(24x7) The gray application remains when trying to open a study in Portal Santiago,,,
Software,"Dear Helpdesk,

Since yesterday ISP can no longer be reached via the Hostname: p-isp-rng.szal.med
Has something changed here for you?
It can now only be reached via the IP address: 10.82.0.151

 

But this is set up on all stations via Hostname: p-isp-rng.szal.med.
Can you make sure that this works again? 
Otherwise this needs to be adjusted manually per workstation.

Our IMT cannot do anything with this because the management is with you.

I would like to hear from you, 
Thanks in advance.

Sincerely

On behalf of PACS group
Wouter Smits,",Can no longer log in through DNS Record. Via IP address,,,
Software,ISP System is Hanging,ISP System is Hanging,,,
Software,software failing to load database.,software failing to load database.,,,
Software,ISP cuts off by itself every 5/10 minutes on the console.,cut -off problem,,,
Software,EBW HD replaced and having multiple problems,EBW HD replaced and having multiple problems,,,
Software,gastric empty,gastric empty,,,
Software,wechat?SA:05K/IntelliSpace IX/LX Workstations/,wechat?SA:05K/IntelliSpace IX/LX Workstations/,,,
Software,02N/IntelliSpace Portal Solutions/software running slowly,02N/IntelliSpace Portal Solutions/software running slowly,,,
Software,"Dr. Buj cannot start the session.
A notice is issued saying: It is not possible to continue. Another instance of the application is already being executed. 
Please call her 654589644
Thank you

Pepa",Dr. Buj cannot start session in Iportal,,,
Software,Unable to transfer data,Unable to transfer data,,,
Software,Cannot Login,Cannot Login,,,
Software,"The portal is too slow, slow, cannot transfer examinations to the portal.",Trust me with a portal,,,
Software,"Name: HPMONTTRM
IP: 10.7.120.200
AET: hbpmFIR
PORT: 2104",DICOM NODE CREATION,,,
Software,Vessel analysis performance slow  Customer requested restart of services.,Vessel analisys performance slow,,,
Software,Wechat?05R/IntelliSpace Portal Solutions/image transfer problem,Wechat?05R/IntelliSpace Portal Solutions/image transfer problem,,,
Software,SA:05R/IntelliSpace Portal/SW error,SA:05R/IntelliSpace Portal/SW error,,,
Software,Wechat?05K/IntelliSpace Portal Solutions/export,Wechat?05K/IntelliSpace Portal Solutions/export,,,
Software,User report Auto Purge not happen to those study more then 90 days.,"AMI, ISP, Auto Purge Faulty",,,
Software,User report unable modify group info in Portal Management.,"SGH, ISP, Unable Modify Group Info",,,
Software,Virtual Colonoscopy app error,Virtual colonoscopy error,,,
Software,"Problems with DynaCAD v4 data, check whether resolved, together with Ms. Kusch, APP","Problems with dynacad V4 data, prison",,,
Software,The ISP has a blue background.,08CS:FN:ISP???????????,,,
Software,"As part of the monthly patch management, CaseID# 00120745192, it was noticed that hanging jobs are in the queue",Hanging Jobs in der Queue,,,
Software,DICOM sending problem.,DICOM k?ld?si probl?ma,,,
Software,customer reported 32 jobs failed on queue manager for local concerto portal server 2,ISP: failed sessions on queue manager,,,
Software,Aorta measurement - Protocol not visible,Aorta measurement - Protocol not visible,,,
Software,Will not save compressed file.,Saving Post Process Spect,,,
Software,Auto Quant defaults,Auto Quant defaults,,,
Software,ISP cardiac post processing for regurgitation,ISP cardiac post processing for regurgitation,,,
Software,consolidate patient folder,consolidate patient folder,,,
Software,ISP down,ISP down,,,
Software,The processing queue is jamming with dynacad images,ISP12 Queue Manger DynaCad preprocessing sometimes jamming in the queue,,,
Software,05R/IntelliSpace Portal Solutions/sw crash,05R/IntelliSpace Portal Solutions/sw crash,,,
Software,02N/ntelliSpace IX/LX Workstations/cannot login,02N/ntelliSpace IX/LX Workstations/cannot login,,,
Software,05R/IntelliSpace Portal Solutions/one client stuck,05R/IntelliSpace Portal Solutions/one client stuck,,,
Software,Wechat:02N/IntelliSpace Portal Solutions/ can't start up,Wechat:02N/IntelliSpace Portal Solutions/ can not start up,,,
Software,01/IntelliSpace IX/LX Workstations,01/IntelliSpace IX/LX Workstations,,,
Software,Slowness using the ISP interface.,Slowness in the use of the ISP interface,,,
Software,A message appears every time an image is displayed on the ISP.,08CS:HO:ISP??????????????????????,,,
Software,OCAP:05R/IntelliSpace IX/LX Workstations/crash,OCAP:05R/IntelliSpace IX/LX Workstations/crash,,,
Software,"No settlement performed from case ID 0121634197 coming >.

Original case was opened on the wrong equipment

Issue: Malfunction
Error description: After prostate gland examination, no calculation was performed. Permability measurement was output with 00000.
Error message:
Error occurred on: 4.5",No calculation is carried out,,,
Software,"Reported problem: It does not generate volumes in a virtual colonoscopy acquisition.
Location of the equipment: - 
When did the failure happen?: Today
When will the equipment be available for intervention? What is the best day or time?: As soon as possible
Was the equipment in clinical use when the failure occurred?: Yes",It does not generate volumes in an acquisition of virtual colonoscopy,,,
Software,ISP not opening,ISP not opening,,,
Software,"Not all modalities open (MR, X-ray) in ISP application.","not opening all modals (MR, X -ray) in the ISP application.",,,
Software,Problems with save evaluations,Problems to save evaluations,,,
Software,Unable to remote desk to to the server,Unable to remote desk to to the server,,,
Software,User settings are no longer available,User settings are no longer available,,,
Software,Machine is opening very slow and running slow and hanging,Machine is opening very slow and running slow and hanging,,,
Software,into,ISP12:Remove CT ASPECT from preference,,,
Software,"User preferences Sync is not working with 12.1.6.  Requires SP003. 
The patient DB is not syncing across all Portal servers.  Patient data on ISP 5 is not available on ISP server 1 etc.",User preferences Sync is not working with 12.1.6.  Requires SP003.,,,
Software,into,ISP 12.1.8_SMGOP : 'Bug Rep' while clicking on HELP option in Spectral Magic Glass on PACS Viewer (Windows issues),,,
Software,"Support for Thanh Vuong together with Ms. Kusch, Application",MR Cardiac crash when activating the Baseline Correction,,,
Software,ISP: unreachable for local users,ISP: unreachable for local users,,,
Software,"need assistance putting information in correct patient folder *Location Change* equipment is located at S Carlin Springs Rd 611 Arlington, VA 22204 (acct# 0094243487)",need assistance putting information in correct patient folder *Location Change* equipment is located at S Carlin...,,,
Software,VIP-IMSS-CLIENT-IT DOES NOT POWER ON AND THE FANS ARE ON,VIP-IMSS-client-no,,,
Software,Server is hung user requesting a restart,Server is hung user requesting a restart,,,
Software,ISP client: error message on workstation,"ISP11 Corridor4DM show error when using ""Screen Capture"" function on client workstation after installing MS KB5025221",,,
Software,IT DOES NOT START SESSION. WHEN ENTERING WITH THE CREDENTIALS IT STARTS TO LOAD BUT IT CLOSES IMMEDIATELY AGAIN.,NO INICIA SESI?N. AL INGRESAR CON LAS CREDENCIALES COMIENZA CARGAR PERO SE VUELVE A CERRAR DE INMEDIATO.,,,
Software,Will not connect to server,Will not connect to server,,,
Software,01/IntelliSpace Portal Solutions/can't login ISP correctly,01/IntelliSpace Portal Solutions/can not login ISP correctly,,,
Software,SA:05R/Extended Brilliance Workspace/software bootup hanged up,SA:05R/Extended Brilliance Workspace/software bootup hanged up,,,
Software,into,ISP12 CAAS 4D Flow crashes few moments after open,,,
Software,Unable to view Patient Data getting network error,Unable to view Patient Data getting network error,,,
Software,Wechat?02N/ISP/Software failure,Wechat?02N/ISP/Software failure,,,
Software,05R/IntelliSpace Portal Solutions/data space,05R/IntelliSpace Portal Solutions/data space,,,
Software,01/IntelliSpace IX/LX Workstations/bugreport collect prompt,01/IntelliSpace IX/LX Workstations/bugreport collect prompt,,,
Software,Frequent software crashes during mapping reprocessing.,Software crash during reworking mapping,,,
Software,"Hello
Some studies are not sent to the local memory of the Portal and they cannot be processed, we tried to send them to the Demo folder or to the 1111 folder (created for these incidents) and there are sequences that do not arrive.",We do not pass to Portal from the RM,,,
Software,Problems processing breasts,BREAST PROCESSING PROBLEMS,,,
Software,"On one of the servers (ISP2) of the ISP in the queue, there are more than 17,000 cases.",Full queue,,,
Software,"After voltage changes today it does not start.
 The system does not work.",Today does not start,,,
Software,The session closes by itself when connected.,The session closes,,,
Software,The equipment is slow when receiving exams.,The equipment is lent to receiving exams,,,
Software,"Cannot find authentication sources, impossible to connect.",Unable to connect,,,
Software,"Via Ms. Kusch, App. on site: Preprocessings do not run, fm ""too little working memory""",VM has too little RAM,,,
Software,customer reported that a local user cannot access ISP,ISP unreachable,,,
Software,Error shown on images coming from Magneton scanners. Customer would like to know if there are any recent changes with ISP.,Error shown on images coming from Magneton scanners,,,
Software,05R/Extended Brilliance Workspace/add the node,05R/Extended Brilliance Workspace/add the node,,,
Software,01/IntelliSpace IX/LX Workstations/add dicom node,01/IntelliSpace IX/LX Workstations/add dicom node,,,
Software,05R/IntelliSpace IX/LX Workstations/film error,05R/IntelliSpace IX/LX Workstations/film error,,,
Software,01/IntelliSpace Portal Solutions/add the node,01/IntelliSpace Portal Solutions/add the node,,,
Software,"Portal running very slow, customer called asking to restart services as the portal is running very slow",Portal running very slow,,,
Software,Unable to transfer image,Unable to transfer image,,,
Software,"The Function Corridor4DM Cannot Save Screen Captures To The Database, From Where They Are Normally Send To Pacs.
ERROR MESSAGE: ""The Parameter Is Incorrect""

Original Text:
Function ""Corridor4DM"" can no longer save screencaptures in the Intellispace database (from which they are usually sent to PACS). Does all heart perfusion undercuts on the department. The error is that Corridor4DM interrupts with ""The Parameter Is Incorrect"".
The problem has been seen on more patients and different PCs and with different data sources. 
Markus Nowak Lonsdale (markus.nowak.lonsdale@regionh.dk), Bispebjerg Hospital, Clinical Physical Food.",Function Corridor4DM cannot save screen captures,,,
Software,WeChat?02N/IntelliSpace IX/LX Workstations/install sw pack,WeChat?02N/IntelliSpace IX/LX Workstations/install sw pack,,,
Software,cant send patient from CT to ISP,cant send patient from CT to ISP,,,
