PR ID,L0 Level,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Translated Short Description,Translated Description,Coding Table Revision
3435651,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,"Studies failing to transfer to DynaCAD with error ""Patient not available""","Studies failing to transfer to DynaCAD with error ""Patient not available"". Raised by clinical apps specialist.",A
3435781,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Cursor not working,The cursor on the computer not working,A
3435954,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Wechat:01/IntelliSpace IX/LX Workstations/System error,Wechat:01/IntelliSpace IX/LX Workstations/System error,A
3435955,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Wechat:01/IntelliSpace IX/LX Workstations/System error,Wechat:01/IntelliSpace IX/LX Workstations/System error,A
3436026,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)","The printer has lost the connection, and does not print.","The printer lost the connection, and it does not print.",A
3436071,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,01/IntelliSpace Portal Solutions/Customer Consultation,01/IntelliSpace Portal Solutions/Customer Consultation,A
3436446,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow interface response,Analysis stops in the case of thyroid evaluation,Analysis crashes during thyroid evaluation,A
3436861,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,02N/IntelliSpace Portal Solutions/client login failed,02N/IntelliSpace Portal Solutions/client login failed,A
3437016,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,The device displays a message,The device displays message: all the portal resouces are used.,A
3437054,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data loss, missing data","The studies are sent from the resonance without failure, but they are not in the portal","The studies are sent from the resonance without any failure, but they are not in the Portal",A
3437514,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ISP not functioning,ISP not functioning,A
3438153,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,ISP12 IX user is logged out of windows after 10 minutes while still logged in to ISP,into,A
3439140,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,"InteliSpace Portal, SN 707119","Dear Helpdesk, 

we have problem with our new installed system, compare on two displays did not working. 

System is ISP V 12.1.7 server version, client is connecting with WIN11, two diagnostic monitors are used - one is 31,5 inch 8MPX resolution 3840x2160, second one is 24inch 2MPX 1920x1200

when i open client and click set monitors it shows me that i have set one diagnostic and one administrative display, on smaller display shows directory and images are on big display, i can use compare function on one display but cant compare on two displays. I tried set in properties>compatibility> high resolution settings according manual but this not helped, 


only if i set same resolution for both displays this option works, but looks very bad so small resolution on big display

its possible some way use this function for displays with different resolution ?

attached screenshots for better understand

thank you",A
3439209,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",ISP server 3 unreachable,customer reported issues to reach server number 3,A
3439218,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",No internet connection even after replacing ethernet cord,No internet connection even after replacing ethernet cord,A
3439231,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Impossible to create local user in PMT.,Impossible to create local user in PMT.,A
3440274,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,"When the application is entered, a message comes out: (Critical error has occurred, Starting log-out process).","WHEN THE APPLICATION IS ACCESSED, A MESSAGE APPEARS: (A CRITICAL ERROR HAS OCCURRED, STARTING LOG-OUT PROCESS).",A
3440276,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,"Moved station to a different room, now getting error message stating logging out  and the system  logs out and...","Moved station to a different room, now getting error message stating logging out  and the system  logs out and battery power is low and would you like to continue or not",A
3440401,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",THE EQUIPMENT FAILURE IS THAT THE IMAGES ARE NOT UPLOADED TO THE HOSPITAL'S PACS,THE EQUIPMENT FAILURE IS THAT THE IMAGES ARE NOT UPLOADED TO THE HOSPITAL'S PACS,A
3440577,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,05R/Extended Brilliance Workspace/Image transmission failure,05R/Extended Brilliance Workspace/Image transmission failure,A
3440647,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Shuts down or restarts unexpectedly,05R/IntelliSpace Portal Solutions/software crash,05R/IntelliSpace Portal Solutions/software crash,A
3440649,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",01/IntelliSpace IX/LX Workstations/software crash,01/IntelliSpace IX/LX Workstations/software crash,A
3440775,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Portal Issue,"User was working on Portal and Portal crashed on her. Portal is running slow. Bug report is being created, can someone have a look, please?

More details in the PHI field.",A
3441101,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),CTA case on ISP AVA application,CTA case on ISP AVA application,A
3441336,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",AVA crash when trying to remove bone on large data sets,"AVA crash when trying to remove bone on large data sets, raised by CT apps",A
3441716,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",05R/IntelliSpace Portal Solutions/hardware event full,05R/IntelliSpace Portal Solutions/hardware event full,A
3441786,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),05R/IntelliSpace IX/LX Workstations/software error,05R/IntelliSpace IX/LX Workstations/software error,A
3441927,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Wechat:05L/IntelliSpace Portal Solutions/Software failure,Wechat:05L/IntelliSpace Portal Solutions/Software failure,A
3442227,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Errors on Client PC connecting to ISP server,"Customer experiencing the following errors and would like help, currently unable to report on Cardiac scans. Error ""Connection to CT Viewer Server is lost. CT viewer will be closed"" ""Error Portal Applet Host - There seems to be a problem in the application. Would you like to do a Bug Report?""",A
3442634,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,ISP12 LAN Config Customer unable to set up communication with Incisive CT,into,A
3442924,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ISP V9 in der Rhythmologie down,"ISP V9 in Rhythmology down, server was already restarted.",A
3443105,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,the service ?Philips service agent 'no longer comes up,"Issue: Malfunction
Description of error: Since yesterday's Windows updates on our ISP server, the service ""Philips Service Agent"" does not come up anymore. It can be started manually, but fails again after a few minutes.",A
3443179,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not stored or missing data, portion of data or did not provide result","HASTER: Mangler bilder/serier fra NO1370 og NO1378. Customer reported case 0121714532, but wrong IP. Transferred to...",Contact Dr. Derk Avenarius 77628406 for description.,A
3443215,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete","Contrastmedium ""cleaning""/removal on colon doesn't work properly","The user writes that when one has conducted a colon CT low dose, and will process it in the Colon program in Intellispace and drive ""cleansing"" so that contrasts will not be gone properly. See attachment.",A
3443898,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,Installation Intellispace Client,"Message:
In January, the customer already briefly contacted Mr. Nagel since the client could not be installed.
It could then be installed via the msi that Mr. Nagel stored for us on the server, unfortunately the client also cannot be installed anymore in this way. Tested it on 2 systems
I attached the logs from the MSI package. Can you please check where it is here?
I also attached the logs from the installer of the website again, can the original error also be fixed? This log is the portal client...
See attachment",A
3444163,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Reset ???????????,Account Reset,A
3444356,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,"System is not allowing staff to boot system up, or login.","System is not allowing staff to boot system up, or login.",A
3444434,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),workstation est? com o software corrompido,workstation's software is corrupted,A
3444608,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),The ISP when it starts is taking a lot or in some cases it is not even possible to start,THE ISP TAKES A LONG TIME TO START WHEN IT IS STARTED OR IN SOME CASES IT IS NOT EVEN POSSIBLE TO START,A
3444988,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Workstation locks when using calcium score,Workstation locks when using calcium score,A
3445044,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Not transmitting, receiving or transmission/receiving failed",Incorrect transfer of data outbound,Cat Scam exame where images are not crossing over ISP,Cat Scam exame where images are not crossing over ISP,A
3445080,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",Does not allow to erase exams,IT DOES NOT ALLOW TO DELETE EXAMINATIONS,A
3445220,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result",Incorrect data is used for calculation; wrong lab value selected for calculation,ISP11 CT CS Sometimes the Findings in the Reports show the text 'Score' instead of the required value,Getting intermittent report score score instead of numeric value,A
3445288,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data loss, missing data",Missing research Studies,Missing research Studies,A
3446158,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,AVW15 MR Cardiac suite series list box longer load time than before the upgrade.,into,A
3446196,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,01CS:RS:???????????ISP?????????>>????????????,Can't login to ISP from just the doctor use terminal,A
3446432,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow interface response,slowdown,Very significant slow-down to move the images forward in acquisition of today's examinations.,A
3446647,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Queue manager issue,Queue manager issue,A
3447073,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),08CS:HO:ISP?????????????????PC?2??????????????,"After the ISP version upgrade, if 2 or more client PCs are used, it will crash",A
3447308,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Configuration required for PACS in EBW Workstation system,Configuration required for PACS in EBW Workstation system,A
3447365,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Strain is reproducible after 11 seconds,"STRAIN crashes reproducibly after 11 seconds, Mr. Euler was able to test without problems two days ago, now it crashes regularly.",A
3447393,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Z? Ecess of data exports to USB or HDD,It is not possible to disable data export to USB or HDD.,A
3447919,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),bug in a session,Bug on the session of the substitute doctors.,A
