PR ID,Project,Short Description,Reported Problem Code L0,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Problem Source Code-L1,Problem Reason Code-L2,
5696400,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,AutoQuant not opening at clients. The server is ok,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5696426,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,It does not communicate with a DICOM node,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Configuration,Configuration Issues
5696574,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"08CS:YM: The app does not start on the client PC. Restart didn't work, so when I forced it to close it, the PC stopped booting.","Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5696713,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP system not booting,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5696761,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,08DS:YM:ISP connection confirmation,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)",nan,,
5696782,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Problems loading the jetpack, FM shows","Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",nan,Unable to Confirm/Replicate Allegation,No problem found
5696881,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Problem with MMTT  sn 709360,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,,
5697056,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Installation of video tutorials,"Device, System or Product Hardware","Covers, housing, components, enclosures, doors","Physically damaged, deformed or not functioning",,
5697204,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CT portal cannot be opened,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Main Power Supply,Power failure
5697663,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,PCA - ISP IX/LX SN 706911 - SYSTEM NOT BOOTING  706911,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5697798,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Hard disk error,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,,
5697799,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP - Darent Valley - Philips ISP MRI Package,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5697801,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Problem with MMTT  sn 709360,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,,
5697853,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Problem with post processing,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5697926,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Philips AVW v15.0.7 Compatability with Windows 11,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5698109,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,AVW disorder,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5698212,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,The Intellispace IX/LX WRKSTNS Baneasa CD reader no longer works,"Device, System or Product Hardware","Covers, housing, components, enclosures, doors",nan,,
5698748,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Intelispace problem,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5698856,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Problem with Filmview Application on the server.,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5699087,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,Issues to push datasets from ISP server 1 to local PACS,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,EDI - Server/UDM,Error
5699630,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,NO PERMITE INICIAR SESION,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5700120,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,VIP-ANGELES-THE USER CRASHED,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,
5700152,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ssl certificate needs to be updated in server,"Software, OS or firmware","Installation, migration, and upgrades/updates",nan,,
5700388,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Please install AVW v15.0.6 on customer provisioned VM - Configure Master, Production, Server the same as the current...",Non-Complaint,Non-Complaint,nan,,
5701022,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Equipment diagnostics,Non-Complaint,Non-Complaint,nan,,
5701047,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Equipment diagnostics,Non-Complaint,Non-Complaint,nan,,
5701283,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"During CCA processing, customer clipped several vessels, once click redo button, sometimes it doesn't return to the","Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5701351,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,3P/ISP dvd writer not functioning,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",,
5701409,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05R/Extended Brilliance Workspace/computer power on failed,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Computer
5701646,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CD/DVD writer is not functional,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",,
5701703,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05K/IntelliSpacePortalSolutions/Add DICOM Node,Non-Complaint,Non-Complaint,nan,,
5701851,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CT ISP Workstation CD writer not working,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",,
5701973,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Montchoisi: No image transfer from the CT.,Imaging and Images,Image routing,Cannot route image,,
5702002,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Cannot launch CT Liver from workstation,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5702024,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,The internal USB key is not installed.,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",,
5702039,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Low disc space,Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,,
5702040,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP CD drive is not functional properly,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD)
5702061,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Osirix workstation not functioning,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,
5702252,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,AI Functionality in FLAIR* LOBI,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5702422,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Update SSL domain certificate,Non-Complaint,Non-Complaint,nan,,
5702456,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,It does not send to PACS.,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,,
5702527,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,IT DOES NOT ENTER THE APPLICATION,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5702652,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,report ISP SW error,Duplicate Complaint,Duplicate Complaint,nan,,
5702665,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Wechat:05L/IntelliSpace Portal Solutions/SW error,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,,
5702825,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,01/IntelliSpace IX/LX Workstations/ DVD recorder fail,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",,
5702862,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Wechat:05K/IntelliSpace Portal Solutions/client login failed,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Network - Communication,Customer Network issue
5703337,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Unable to accept print command,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Network - Communication,Customer Network issue
5703600,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Automatic Preprocessing for selected studies (Providence site) not triggering,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5703636,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"01CS:KK: I tried to log in but a message saying ""Busy"" appeared and I was unable to log in. I tried to log in again but","Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,,
5703674,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,Both the client and the server cannot open the software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,No problem found
5703773,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Monitor had no display,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Cables/Wiring,Cable broken/cut/frayed
5703882,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,02N/IntelliSpace IX/LX Workstations/water leakage,"Device, System or Product Hardware","Physically damaged, deformed or not functioning","Fit (Loose, not secure, misaligned)",,
5703978,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Undesired text appears in film after not entering a text in the arrow + text annotation,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5703999,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CMR Cannot export a Cine easily,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not export,,
5704019,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CMR  cannot launch with subselect,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5704040,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CMR Viewer>  lost the legacy function:  ability to multi measure,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5704062,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CMR Viewer> Multi measure autosave need development,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5704115,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CMR Viewer> Annotation is limited,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5704129,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CMR: wants a line tool in the top common tools banner,Non-Complaint,Enhancement Request,nan,,
5704217,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Launching workflow problem of client PC,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ICAP-Portal client,Resolved by SW Reinstall
5704232,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Enhancement Request CMR: wants viewer options expanded,Non-Complaint,Enhancement Request,nan,,
5704244,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CMR viewer : wants a keyboard shortcut to play cine or stack,Non-Complaint,Enhancement Request,nan,,
5704492,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP CD writer not functioning,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",,
5704549,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Problems with the transfer queue, transfer queue shows the status waiting even though no jobs are displayed in the queue","Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Database,Database Full/Corrupt
5704557,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Copying to pacs is slow and retrieving disappears in few hours,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,,
5704564,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,One of the concerto servers (ip ending 11) is not working properly,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5704650,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Users cannot run applications, diagnostic programs","Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,User access
5704790,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,ISP Server-- Data Consolidation,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Disk Drive
5704855,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Unable to log in to the client using a domain account, the MRZ authentication source was not available in the client.","Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,ICAP-Portal Server,Resolved by Restart
5704906,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Unable to log in, Password not accepted, Failed to connect to portal server.","Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5704970,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Enhancement Request_LV /RV values table are not been displayed  within quick review viewport.,Imaging and Images,Image routing,Cannot route image,,
5704989,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Enhancement Request_MMV- Measurement tools should allow multiple draws in MMV - currently single draw is supported which,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5705362,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Disk is completely full, it happens every two months, it never jumps to delete by itself, there was no space in D","Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Software,Software Issues (e.g. bugs)
5705721,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Attached error showing up on the radiology work station and also on the ISP,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,License/Certificate,Certificate
5706259,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Customer has some questions on what options they have for processing cardiacs on IntelliSpace Portal,Non-Complaint,Non-Complaint,nan,,
5706288,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Dr. Mckean is getting this when he is pulling up PET/CT. It won't let him move that little window.,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Software,Software/Firmware Settings and Configuration
5707540,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,01/IntelliSpace IX/LX Workstations/software cannot login,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,,
5707543,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Wechat:05R/Extended Brilliance Workspace/DVD record failed,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Computer
5707565,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,Wechat:05R/Extended Brilliance Workspace/Burner malfunction,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",,
5707575,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,02N/IntelliSpace IX/LX Workstations/images transfer failed,Imaging and Images,Image routing,Cannot route image,Non-Philips Product/ Accessories,Non- Philips Product
5707733,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Split2: DVD writer is not functioning,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD)
5707989,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,"05R/IntelliSpaceIX/LXWorkstations/The software crashed, there was artifact in image","Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Shuts down or restarts unexpectedly,ICAP-Hardware,Disk Drive
5708000,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,FM: Unexpected error during Workflow creation.,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5708129,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CT viewer image size change problem,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5708259,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Wechat:05R/Extended Brilliance Workspace/ add DICOM nodes,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",,
5708271,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Results of an examination cannot be opened in the description.,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,
5708337,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,Batch images cut-off phenomenon,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",,
5708445,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,DVD Writer malfunction,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",nan,,
5708520,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"When the session is started, a framework error is displayed, only in one equipment.",Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Software,Software/Firmware Settings and Configuration
5708717,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,Automatic sending of images from the Film application to the PACS does not work.,Imaging and Images,Image routing,Cannot route image,ICAP-Portal Server,Resolved by Restart
5708830,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"A white dvd is also printed in each printout, without printing.","Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Printing quality not as expected,,
5709121,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,6600686187.01/assembly partner,Non-Complaint,Non-Complaint,nan,,
5709151,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP system mouse is not functioning properly,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",,
5709218,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ER_MR Diffusion (Fiber Track Application): The application launches but remains frozen,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,
5709222,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Collect logs/JSON files for Splunk analysis for all Helios sites for JAN-2024,Non-Complaint,Non-Complaint,nan,,
5709266,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,MR Cardiac Suite QPQS Enhancement,Non-Complaint,Enhancement Request,nan,,
5709324,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,No examination in THE AVW.,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,
5709331,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Request for support in adding a new DICOM LuxMedSM IP node to the AVW: 172.16.2.11, port 11112, AEt: DCM4CHEE and verifi","Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",,
5709345,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,A problem with downloading to PACS.,Imaging and Images,Image routing,Cannot route image,,
5709455,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,ISP - Gauzeran - Problem with duration when loading images.,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",,
5709606,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,IMAGES ARE NOT BEING FORWARDED FROM ISP TO PACS.,Imaging and Images,Image routing,Cannot route image,Database,Database Full/Corrupt
5709645,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,AVW15: Would be preferable to keep measurement tool active instead to re select for eachmeasurement (TFS  Defect 1632766,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5709763,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Perfusion evaluations are no longer generated automatically.,Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,,
5709901,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,need to change pacs,Non-Complaint,Non-Complaint,nan,,
5710128,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,OKI colour printer print fails intermittentl,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Printing quality not as expected,,
5710212,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,There is a user who cannot enter.,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,,
5710342,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,Images are blurry when moving quickly from one image to another - Advanced Visualization Workspace(881120) - Iasi Recove,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",ICAP-System General,Functional - Performance
5710815,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,When in Comp Cardiac - film or function - program crashes,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,
5710921,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"It shows the error message: ""No Disk Space"", option ""DELETE"" is not enabled.",Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,,
5710997,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CONFIGURE THE PRINTER AND BE ABLE TO PRINT TOMOGRAPHY PLATES FROM THE WORKSTATION,Non-Complaint,Non-Complaint,nan,,
5711382,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"""Low Disk Space"" error message when working with the AVW","Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",,
5711591,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Equipment cannot record in robot,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5712212,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,need a rep to speak with and exchange report with regards to some changes happening soon,Non-Complaint,Non-Complaint,nan,,
5712272,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,There was a certification problem.,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",nan,,
5712441,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Cannot access the application,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,,
5712481,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,BIOS boot stuck and failure,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",ICAP-Hardware,Computer
5712744,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Cannot send image from CT to computer ISP,Imaging and Images,Image routing,Cannot route image,,
5712934,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,"02N/ISP/Software fault, patient list can't be deleted","Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",License/Certificate,Certificate
5713145,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"01/IntelliSpace IX/LX Workstations/disk fault, the system disk cannot be found","Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Disk Drive
5713201,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,There is no communication with a camera,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",,
5713282,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Enhancement Request_ability for single annotation across several slides,Non-Complaint,Enhancement Request,nan,,
5713395,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05L/IntelliSpace IX/LX Workstations/workflow error,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",nan,,
5713397,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Hard disk failure,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",,
5713421,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,(#9721) VIN Philips XPER: Support for outdated version on Windows 2008 and SQL,into,into,nan,,
5713427,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,(#9721) Vin Philips Xper: Support for outdated version on Windows 2008 and SQL,into,into,nan,,
5713445,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,Is it possible to display the Venc value in ISP for Q-flow analyses (in the scan data)?,Imaging and Images,Image routing,Cannot route image,,
5713569,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP - Paris 13 - Problem with error message,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,,
5713679,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,"The software is slow, Software reinstallation.","Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Software,Software Issues (e.g. bugs)
5713687,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Equipment diagnostics (SSL Cert),"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5713762,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,Cannot change slice thickness of cross section images in Vessel Extraction stage of AVA,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
